id,name,price,type
1,user1,1000,1
2,user2,2000,1
3,user3,3000,1
4,user4,4000,1
5,user5,5000,1
6,user6,6000,1
7,user7,7000,1
8,user8,8000,1
9,user9,9000,1
10,user10,10000,1
11,user11,11000,2
12,user12,12000,2
13,user13,13000,2
14,user14,14000,2
15,user15,15000,2
16,user16,16000,2
17,user17,17000,2
18,user18,18000,2
19,user19,19000,2
20,user20,20000,2
21,user21,21000,3
22,user22,22000,3
23,user23,23000,3
24,user24,24000,3
25,user25,25000,3
26,user26,26000,3
27,user27,27000,3
28,user28,28000,3
29,user29,29000,3
30,user30,30000,3
